"term","sum(count)"
"according",1880
"already",2769
"also",6055
"always",3392
"another",3543
"become",2302
"becomes",1811
"body",2995
"called",2016
"can",11855
"capital",2217
"case",4272
"certain",3840
"consciousness",2476
"course",1944
"day",2104
"difference",2354
"different",3520
"even",6846
"every",3466
"example",2473
"existence",2408
"experience",3314
"fact",4653
"far",2273
"first",5628
"form",4525
"forms",1776
"general",3218
"given",3553
"great",2413
"hand",2775
"history",2257
"however",3250
"human",2048
"idea",2010
"just",2845
"kind",2380
"know",3228
"knowledge",3852
"labour",3724
"language",3957
"less",2283
"let",1897
"life",3924
"like",4527
"long",2033
"longer",2130
"made",2635
"madness",2324
"make",2876
"makes",1873
"man",5282
"many",2589
"matter",1912
"may",6523
"meaning",3363
"means",3991
"men",2487
"merely",1980
"might",3250
"movement",1977
"much",2539
"must",6911
"natural",2229
"nature",3246
"necessary",2008
"never",2734
"new",3351
"nothing",2688
"now",4644
"object",3417
"one",17591
"order",3333
"others",1949
"part",2948
"particular",2273
"people",2030
"perhaps",2085
"place",2671
"point",3032
"possible",4028
"power",2727
"present",3460
"problem",1933
"production",2445
"question",3772
"rather",2662
"real",2218
"reason",2682
"relation",2922
"said",2311
"say",5575
"science",2108
"see",3172
"seems",1791
"self",2654
"sense",5377
"since",3082
"social",2180
"something",3735
"state",2455
"still",3201
"subject",2296
"system",2240
"take",2286
"terms",2369
"theory",3042
"therefore",3073
"thing",3079
"things",4225
"think",2701
"though",2179
"thought",3299
"thus",4492
"time",7298
"true",4788
"truth",4232
"two",5194
"upon",2949
"use",2645
"value",4280
"view",2070
"way",5589
"well",2655
"whether",2403
"whole",3064
"will",9356
"within",3219
"without",4333
"woman",3007
"women",2579
"word",2406
"words",2633
"work",3291
"world",8507
"yet",2652
