"term","sum(count)","perc"
"one",17591,0.0380203729199672
"can",11855,0.0256228481022234
"will",9356,0.0202216252083005
"world",8507,0.018386635917808
"time",7298,0.0157735592956581
"must",6911,0.0149371154141262
"even",6846,0.014796627423688
"may",6523,0.0140985101788952
"also",6055,0.0130869966477404
"first",5628,0.0121640986182466
"way",5589,0.0120798058239837
"say",5575,0.012049546872197
"sense",5377,0.0116215988397853
"man",5282,0.0114162702383757
"two",5194,0.0112260711128594
"true",4788,0.0103485615110456
"fact",4653,0.010056778761674
"now",4644,0.0100373265783826
"like",4527,0.00978444819559387
"form",4525,0.00978012548819577
"thus",4492,0.00970880081612716
"without",4333,0.0093651455779784
"value",4280,0.00925059383192881
"case",4272,0.00923330300233642
"truth",4232,0.00914684885437447
"things",4225,0.00913171937848113
"possible",4028,0.00870593269976852
"means",3991,0.00862596261290371
"language",3957,0.00855247658713605
"life",3924,0.00848115191506744
"knowledge",3852,0.00832553444873593
"certain",3840,0.00829959820434735
"question",3772,0.00815262615281203
"something",3735,0.00807265606594722
"labour",3724,0.00804888117525769
"given",3553,0.00767928969272034
"another",3543,0.00765767615572986
"different",3520,0.00760796502065173
"every",3466,0.0074912519209031
"present",3460,0.00747828379870881
"object",3417,0.00738534558964971
"always",3392,0.00733131174717349
"meaning",3363,0.00726863248990108
"new",3351,0.00724269624551249
"order",3333,0.00720379187892961
"experience",3314,0.00716272615864768
"thought",3299,0.00713030585316195
"work",3291,0.00711301502356956
"however",3250,0.00702439952190856
"might",3250,0.00702439952190856
"nature",3246,0.00701575410711237
"know",3228,0.00697684974052949
"within",3219,0.00695739755723805
"general",3218,0.006955236203539
"still",3201,0.00691849319065517
"see",3172,0.00685581393338276
"since",3082,0.00666129210046837
"thing",3079,0.00665480803937122
"therefore",3073,0.00664183991717693
"whole",3064,0.00662238773388549
"theory",3042,0.00657483795250641
"point",3032,0.00655322441551593
"woman",3007,0.00649919057303971
"body",2995,0.00647325432865112
"upon",2949,0.00637383205849488
"part",2948,0.00637167070479583
"relation",2922,0.00631547550862056
"make",2876,0.00621605323846432
"just",2845,0.0061490512737938
"hand",2775,0.00599775651486039
"already",2769,0.00598478839266609
"never",2734,0.00590914101319939
"power",2727,0.00589401153730605
"think",2701,0.00583781634113078
"nothing",2688,0.00580971874304314
"reason",2682,0.00579675062084885
"place",2671,0.00577297573015931
"rather",2662,0.00575352354686787
"well",2655,0.00573839407097453
"self",2654,0.00573623271727548
"yet",2652,0.00573191000987739
"use",2645,0.00571678053398404
"made",2635,0.00569516699699356
"words",2633,0.00569084428959546
"many",2589,0.00559574472683731
"women",2579,0.00557413118984683
"much",2539,0.00548767704188487
"men",2487,0.00537528664953434
"consciousness",2476,0.0053515117588448
"example",2473,0.00534502769774765
"state",2455,0.00530612333116478
"production",2445,0.00528450979417429
"great",2413,0.00521534647580473
"existence",2408,0.00520453970730948
"word",2406,0.00520021699991138
"whether",2403,0.00519373293881424
"kind",2380,0.00514402180373612
"terms",2369,0.00512024691304658
"difference",2354,0.00508782660756085
"madness",2324,0.00502298599658938
"said",2311,0.00499488839850175
"become",2302,0.00497543621521031
"subject",2296,0.00496246809301602
"take",2286,0.00494085455602553
"less",2283,0.00493437049492838
"far",2273,0.0049127569579379
"particular",2273,0.0049127569579379
"history",2257,0.00487817529875312
"system",2240,0.00484143228586929
"natural",2229,0.00481765739517975
"real",2218,0.00479388250449021
"capital",2217,0.00479172115079116
"social",2180,0.00471175106392636
"though",2179,0.00470958971022731
"longer",2130,0.00460368337897392
"science",2108,0.00455613359759485
"day",2104,0.00454748818279865
"perhaps",2085,0.00450642246251672
"view",2070,0.00447400215703099
"human",2048,0.00442645237565192
"long",2033,0.00439403207016619
"people",2030,0.00438754800906904
"called",2016,0.00435728905728236
"idea",2010,0.00434432093508806
"necessary",2008,0.00433999822768997
"merely",1980,0.0042794803241166
"movement",1977,0.00427299626301945
"others",1949,0.00421247835944609
"course",1944,0.00420167159095084
"problem",1933,0.00417789670026131
"matter",1912,0.00413250827258128
"let",1897,0.00410008796709555
"according",1880,0.00406334495421172
"makes",1873,0.00404821547831838
"becomes",1811,0.00391421154897736
"seems",1791,0.00387098447499638
"forms",1776,0.00383856416951065
