"school","count"
"analytic",55425
"aristotle",48779
"capitalism",18194
"communism",17958
"continental",33779
"empiricism",19931
"feminism",18635
"german_idealism",42136
"nietzsche",13548
"phenomenology",28573
"plato",38366
"rationalism",22949
"stoicism",2535
