"term","sum(count)","perc","period"
"nature",3246,0.00701575410711237,"Three"
"body",2995,0.00647325432865112,"Three"
"reason",2682,0.00579675062084885,"Three"
"men",2487,0.00537528664953434,"Three"
"people",2030,0.00438754800906904,"Three"
