"term","sum(count)","perc","period"
"reason",6394,0.0117021354475509,"Two"
"nature",6282,0.0114971559089012,"Two"
"men",3135,0.00573759690773725,"Two"
"body",2978,0.00545025951873733,"Two"
"people",1941,0.00355236861177607,"Two"
"motion",1780,0.00325771052496724,"Two"
"soul",1770,0.00323940878044495,"Two"
