"term","sum(count)","perc"
"one",14188,0.025966515128222
"can",10356,0.0189532866272813
"will",9668,0.0176941266041479
"must",7210,0.0131955578005696
"may",6411,0.0117332484132388
"reason",6394,0.0117021354475509
"nature",6282,0.0114971559089012
"therefore",6252,0.0114422506753344
"things",5128,0.00938513459102922
"first",5009,0.00916734383121399
"also",4971,0.0090977972020293
"upon",4945,0.00905021266627135
"without",4927,0.00901726952613123
"ideas",4917,0.00899896778160894
"even",4649,0.00850848102841163
"idea",4577,0.00837670846785116
"mind",4503,0.00824127555838623
"object",4448,0.00814061596351364
"thus",4441,0.00812780474234804
"concept",4259,0.0077947129920424
"time",4258,0.00779288281759017
"self",4156,0.00760620502346284
"god",3957,0.00724200030746931
"since",3886,0.00711205792136106
"two",3866,0.00707545443231649
"existence",3782,0.00692171977832927
"nothing",3782,0.00692171977832927
"part",3737,0.00683936192797898
"something",3679,0.00673321180974971
"great",3528,0.00645685546746316
"every",3415,0.00625004575436131
"general",3413,0.00624638540545685
"another",3412,0.00624455523100462
"now",3386,0.00619697069524667
"man",3371,0.00616951807846324
"yet",3371,0.00616951807846324
"different",3363,0.00615487668284541
"consciousness",3358,0.00614572581058426
"thing",3350,0.00613108441496643
"good",3326,0.00608716022811294
"power",3279,0.00600114202885819
"though",3234,0.00591878417850789
"order",3221,0.00589499191062892
"form",3212,0.00587852034055886
"much",3202,0.00586021859603657
"way",3190,0.00583825650260983
"make",3182,0.005823615106992
"men",3135,0.00573759690773725
"however",3022,0.00553078719463539
"body",2978,0.00545025951873733
"just",2959,0.00541548620414498
"particular",2954,0.00540633533188384
"always",2911,0.005327637830438
"world",2864,0.00524161963118324
"pure",2837,0.00519220492097307
"cause",2777,0.00508239445383934
"necessary",2756,0.00504396079034254
"objects",2738,0.00501101765020242
"certain",2733,0.00500186677794127
"natural",2698,0.00493781067211327
"matter",2683,0.00491035805532983
"far",2681,0.00490669770642538
"law",2659,0.00486643386847634
"thought",2657,0.00486277351957189
"relation",2631,0.00481518898381394
"whole",2588,0.0047364914823681
"see",2576,0.00471452938894135
"still",2548,0.00466328450427895
"present",2539,0.00464681293420889
"state",2484,0.00454615333933631
"made",2479,0.00453700246707516
"means",2479,0.00453700246707516
"well",2479,0.00453700246707516
"either",2452,0.00448758775686498
"understanding",2452,0.00448758775686498
"knowledge",2447,0.00447843688460384
"never",2439,0.00446379548898601
"use",2438,0.00446196531453378
"given",2436,0.00445830496562932
"say",2420,0.00442902217439366
"truth",2401,0.00439424885980132
"possible",2367,0.00433202292842554
"produce",2367,0.00433202292842554
"subject",2366,0.00433019275397331
"universal",2347,0.00429541943938096
"true",2343,0.00428809874157205
"merely",2288,0.00418743914669946
"might",2256,0.00412887356422814
"unity",2253,0.00412338304087146
"human",2248,0.00411423216861031
"whether",2238,0.00409593042408802
"according",2192,0.0040117423992855
"case",2187,0.00400259152702436
"price",2167,0.00396598803797978
"know",2155,0.00394402594455304
"sense",2153,0.00394036559564858
"greater",2149,0.00393304489783966
"others",2132,0.00390193193215177
"many",2122,0.00388363018762948
"principle",2122,0.00388363018762948
"determination",2076,0.00379944216282696
"rather",2073,0.00379395163947027
"experience",2066,0.00378114041830467
"simple",2035,0.00372440501028558
"said",2023,0.00370244291685884
