"term","sum(count)","perc"
"one",14760,0.0446127666262653
"will",8857,0.0267706825209236
"things",8209,0.0248120732544046
"must",7016,0.0212061768732979
"man",6407,0.0193654468681898
"also",5754,0.017391724875849
"good",5115,0.0154603185158094
"now",5010,0.0151429512735494
"say",4851,0.0146623665924128
"thing",4746,0.0143449993501528
"can",4473,0.0135198445202767
"said",4179,0.0126312162419487
"way",4069,0.0122987362738668
"like",3876,0.0117153850571412
"time",3708,0.0112075974695252
"just",3605,0.0108962753175939
"two",3414,0.0103189691911971
"something",3397,0.0102675859234027
"another",3370,0.0101859772039644
"may",3362,0.0101617968426493
"first",3236,0.0097809561519373
"either",3222,0.00973864051963596
"well",3217,0.00972352779381406
"others",3189,0.00963889652921139
"part",3150,0.00952101726780052
"nature",3144,0.00950288199681424
"case",3138,0.00948474672582795
"since",3038,0.00918249220938984
"many",3011,0.00910088348995155
"even",2966,0.0089648689575544
"body",2946,0.00890441805426678
"men",2876,0.0086928398927601
"think",2854,0.00862634389914371
"animals",2703,0.00816993957932216
"people",2678,0.00809437595021264
"kind",2580,0.00779816652410329
"make",2546,0.00769539998851433
"every",2454,0.00741732583339127
"whether",2450,0.00740523565273374
"therefore",2392,0.00722992803319964
"parts",2345,0.00708786841047372
"true",2300,0.00695185387807657
"reason",2280,0.00689140297478895
"come",2258,0.00682490698117257
"soul",2227,0.00673120808107675
"know",2217,0.00670098262943294
"without",2172,0.00656496809703579
"motion",2147,0.00648940446792626
"see",2079,0.00628387139674835
"place",2052,0.00620226267731006
"right",2046,0.00618412740632377
"water",2034,0.0061478568643512
"always",2031,0.00613878922885805
"possible",2031,0.00613878922885805
"socrates",1955,0.00590907579636509
"take",1949,0.0058909405253788
"different",1940,0.00586373761889937
"state",1935,0.00584862489307746
"whole",1923,0.00581235435110489
"else",1880,0.0056823849090365
"knowledge",1811,0.00547382929269421
"nothing",1805,0.00545569402170792
"anything",1801,0.0054436038410504
"though",1787,0.00540128820874906
"life",1785,0.0053952431184203
"called",1777,0.00537106275710525
"point",1703,0.00514739441494105
"sense",1692,0.00511414641813285
"much",1689,0.00510507878263971
"yet",1677,0.00506880824066714
"neither",1666,0.00503556024385894
"made",1659,0.00501440242770828
"number",1657,0.00500835733737951
"fact",1643,0.00496604170507818
"better",1581,0.00477864390488655
"less",1556,0.00470308027577702
"thus",1544,0.00466680973380445
"matter",1539,0.00465169700798254
"sort",1529,0.00462147155633873
"cause",1515,0.00457915592403739
"form",1510,0.00456404319821549
"air",1496,0.00452172756591415
"thought",1459,0.00440989339483205
"let",1423,0.00430108176891433
"earth",1404,0.00424365341079109
"movement",1388,0.00419529268816099
"mean",1387,0.00419227014299661
"great",1379,0.00416808978168156
"contrary",1375,0.00415599960102404
"animal",1374,0.00415297705585966
"belong",1366,0.00412879669454461
"clear",1363,0.00411972905905147
"shall",1356,0.0040985712429008
"give",1355,0.00409554869773642
"certain",1354,0.00409252615257203
"best",1335,0.00403509779444879
"bad",1330,0.00401998506862689
"belongs",1318,0.00398371452665431
"use",1293,0.00390815089754479
"upon",1287,0.0038900156265585
"call",1284,0.00388094799106536
"cases",1260,0.00380840690712021
"comes",1260,0.00380840690712021
"pleasure",1257,0.00379933927162707
"present",1250,0.0037781814554764
"heat",1248,0.00377213636514764
"however",1244,0.00376004618449011
"together",1243,0.00375702363932573
"makes",1228,0.00371168546186001
"become",1227,0.00370866291669563
"everything",1223,0.00369657273603811
"seems",1220,0.00368750510054496
"power",1217,0.00367843746505182
"necessary",1214,0.00366936982955868
"natural",1207,0.00364821201340801
"rest",1194,0.00360891892627106
"rather",1183,0.00357567092946286
"end",1179,0.00356358074880534
"subject",1179,0.00356358074880534
"still",1169,0.00353335529716153
"change",1165,0.003521265116504
"far",1160,0.0035061523906821
"name",1160,0.0035061523906821
"suppose",1160,0.0035061523906821
"question",1146,0.00346383675838076
"found",1145,0.00346081421321638
"never",1142,0.00345174657772324
"city",1136,0.00343361130673695
"impossible",1126,0.00340338585509314
"hand",1121,0.00338827312927123
"long",1120,0.00338525058410685
"might",1105,0.00333991240664114
"small",1105,0.00333991240664114
"gods",1096,0.00331270950016171
"greater",1089,0.00329155168401104
"particular",1089,0.00329155168401104
"means",1078,0.00325830368720285
"bodies",1076,0.00325225859687408
"argument",1069,0.00323110078072342
"among",1064,0.00321598805490151
"virtue",1064,0.00321598805490151
"account",1060,0.00320389787424399
"ones",1057,0.00319483023875084
"person",1044,0.00315553715161389
"god",1043,0.00315251460644951
"young",1042,0.00314949206128513
"general",1035,0.00312833424513446
"indeed",1026,0.00310113133865503
"given",1021,0.00308601861283312
"opposite",1020,0.00308299606766874
"already",1008,0.00304672552569617
"common",980,0.0029620942610935
"put",974,0.00294395899010721
"find",956,0.00288955317714835
"whereas",942,0.00284723754484701
