"term","sum(count)","perc"
"one",14760,0.0446127666262653
"will",8857,0.0267706825209236
"things",8209,0.0248120732544046
"must",7016,0.0212061768732979
"man",6407,0.0193654468681898
"also",5754,0.017391724875849
"good",5115,0.0154603185158094
"now",5010,0.0151429512735494
"say",4851,0.0146623665924128
"thing",4746,0.0143449993501528
"can",4473,0.0135198445202767
"said",4179,0.0126312162419487
"way",4069,0.0122987362738668
"like",3876,0.0117153850571412
"time",3708,0.0112075974695252
"just",3605,0.0108962753175939
"two",3414,0.0103189691911971
"something",3397,0.0102675859234027
"another",3370,0.0101859772039644
"may",3362,0.0101617968426493
"first",3236,0.0097809561519373
"either",3222,0.00973864051963596
"well",3217,0.00972352779381406
"others",3189,0.00963889652921139
"part",3150,0.00952101726780052
"nature",3144,0.00950288199681424
"case",3138,0.00948474672582795
"since",3038,0.00918249220938984
"many",3011,0.00910088348995155
"even",2966,0.0089648689575544
"body",2946,0.00890441805426678
"men",2876,0.0086928398927601
"think",2854,0.00862634389914371
"animals",2703,0.00816993957932216
"people",2678,0.00809437595021264
"kind",2580,0.00779816652410329
"make",2546,0.00769539998851433
"every",2454,0.00741732583339127
"whether",2450,0.00740523565273374
"therefore",2392,0.00722992803319964
"parts",2345,0.00708786841047372
"true",2300,0.00695185387807657
"reason",2280,0.00689140297478895
"come",2258,0.00682490698117257
"soul",2227,0.00673120808107675
"know",2217,0.00670098262943294
"without",2172,0.00656496809703579
"motion",2147,0.00648940446792626
"see",2079,0.00628387139674835
"place",2052,0.00620226267731006
"right",2046,0.00618412740632377
"water",2034,0.0061478568643512
"always",2031,0.00613878922885805
"possible",2031,0.00613878922885805
"socrates",1955,0.00590907579636509
"take",1949,0.0058909405253788
"different",1940,0.00586373761889937
"state",1935,0.00584862489307746
"whole",1923,0.00581235435110489
"else",1880,0.0056823849090365
"knowledge",1811,0.00547382929269421
"nothing",1805,0.00545569402170792
"anything",1801,0.0054436038410504
"though",1787,0.00540128820874906
"life",1785,0.0053952431184203
"called",1777,0.00537106275710525
"point",1703,0.00514739441494105
"sense",1692,0.00511414641813285
"much",1689,0.00510507878263971
"yet",1677,0.00506880824066714
"neither",1666,0.00503556024385894
"made",1659,0.00501440242770828
"number",1657,0.00500835733737951
