"term","sum(count)","perc","period"
"nature",3144,0.00950288199681424,"One"
"body",2946,0.00890441805426678,"One"
"men",2876,0.0086928398927601,"One"
"animals",2703,0.00816993957932216,"One"
"people",2678,0.00809437595021264,"One"
"reason",2280,0.00689140297478895,"One"
"soul",2227,0.00673120808107675,"One"
"motion",2147,0.00648940446792626,"One"
